,collaborative,description,href,id,images,name,primary_color,public,snapshot_id,type,uri,external_urls.spotify,owner.display_name,owner.external_urls.spotify,owner.href,owner.id,owner.type,owner.uri,tracks.href,tracks.total
0,False,A relaxing evening with a smooth glass never sounded so good. Hit play and let the room fill with some of the classics.,https://api.spotify.com/v1/playlists/37i9dQZF1DWWyCCtyRAvGr,37i9dQZF1DWWyCCtyRAvGr,"[{'height': None, 'url': 'https://i.scdn.co/image/ab67706f00000003a458bb56e9ca7650fe8c70ab', 'width': None}]",Blues on the Rocks,,,MTYzNTI1MjMxMSwwMDAwMDAwMGQ0MWQ4Y2Q5OGYwMGIyMDRlOTgwMDk5OGVjZjg0Mjdl,playlist,spotify:playlist:37i9dQZF1DWWyCCtyRAvGr,https://open.spotify.com/playlist/37i9dQZF1DWWyCCtyRAvGr,Spotify,https://open.spotify.com/user/spotify,https://api.spotify.com/v1/users/spotify,spotify,user,spotify:user:spotify,https://api.spotify.com/v1/playlists/37i9dQZF1DWWyCCtyRAvGr/tracks,50
1,False,Relaxing evening music picked just for you,https://api.spotify.com/v1/playlists/37i9dQZF1EIfTdPb0VgusP,37i9dQZF1EIfTdPb0VgusP,"[{'height': None, 'url': 'https://i.scdn.co/image/ab676d63000014752249fc6e03f2278f4425467d', 'width': None}]",Relaxing evening music,,,MTg5MjYsMDAwMDAwMDBiNTEyMzVmZjU1MzRkZjY3NWFkYzQ1NjdhZjUzMzdkYQ==,playlist,spotify:playlist:37i9dQZF1EIfTdPb0VgusP,https://open.spotify.com/playlist/37i9dQZF1EIfTdPb0VgusP,Spotify,https://open.spotify.com/user/spotify,https://api.spotify.com/v1/users/spotify,spotify,user,spotify:user:spotify,https://api.spotify.com/v1/playlists/37i9dQZF1EIfTdPb0VgusP/tracks,50
2,False,,https://api.spotify.com/v1/playlists/1rPu52iwvSlExHx7reIWzL,1rPu52iwvSlExHx7reIWzL,"[{'height': 640, 'url': 'https://mosaic.scdn.co/640/ab67616d0000b273621489fd90d50158b3714cb0ab67616d0000b273b5d4730e54f84c66c70fe60aab67616d0000b273cb24ea50ff09e4e9925d6973ab67616d0000b273d6df3bccf3ec41ea2f76debc', 'width': 640}, {'height': 300, 'url': 'https://mosaic.scdn.co/300/ab67616d0000b273621489fd90d50158b3714cb0ab67616d0000b273b5d4730e54f84c66c70fe60aab67616d0000b273cb24ea50ff09e4e9925d6973ab67616d0000b273d6df3bccf3ec41ea2f76debc', 'width': 300}, {'height': 60, 'url': 'https://mosaic.scdn.co/60/ab67616d0000b273621489fd90d50158b3714cb0ab67616d0000b273b5d4730e54f84c66c70fe60aab67616d0000b273cb24ea50ff09e4e9925d6973ab67616d0000b273d6df3bccf3ec41ea2f76debc', 'width': 60}]",Relaxing evening,,,MjQ1LDc0ZGMzMDRhZWNjNzkzZDc0ZTRkYTQxN2JlNzg1MGUyNGU5MDRiNTY=,playlist,spotify:playlist:1rPu52iwvSlExHx7reIWzL,https://open.spotify.com/playlist/1rPu52iwvSlExHx7reIWzL,alexgirling93,https://open.spotify.com/user/alexgirling93,https://api.spotify.com/v1/users/alexgirling93,alexgirling93,user,spotify:user:alexgirling93,https://api.spotify.com/v1/playlists/1rPu52iwvSlExHx7reIWzL/tracks,113
3,False,"Instrumental jazz that's easy on the ears - perfectly for reading, morning coffee, evening wine, or just relaxing with friends. <a href=""https://open.spotify.com/user/greenhillmusic?si=0Jdl6tfvRYGj_9jtZ8Q3dw"">Green Hill</a> - music for every mood.",https://api.spotify.com/v1/playlists/582DJmd0ot1ayqJePPSGtA,582DJmd0ot1ayqJePPSGtA,"[{'height': None, 'url': 'https://i.scdn.co/image/ab67706c0000bebb1782acaed9b729f971ef97b5', 'width': None}]",Relaxing Jazz,,,MTY3LGNiMTc4OTUzYmJjYWI5N2ExMzg5M2VjNDg2ZTBkYWUxMmE2MTMyMTk=,playlist,spotify:playlist:582DJmd0ot1ayqJePPSGtA,https://open.spotify.com/playlist/582DJmd0ot1ayqJePPSGtA,Green Hill,https://open.spotify.com/user/greenhillmusic,https://api.spotify.com/v1/users/greenhillmusic,greenhillmusic,user,spotify:user:greenhillmusic,https://api.spotify.com/v1/playlists/582DJmd0ot1ayqJePPSGtA/tracks,80
4,False,,https://api.spotify.com/v1/playlists/2skmuBILbjEVC7RN738Wcq,2skmuBILbjEVC7RN738Wcq,"[{'height': 640, 'url': 'https://mosaic.scdn.co/640/ab67616d0000b27300a59849a6c73a985bbd0369ab67616d0000b273038f8fad2f75b637f1c9aef5ab67616d0000b273779063301154e835a91a35e0ab67616d0000b273e52a59a28efa4773dd2bfe1b', 'width': 640}, {'height': 300, 'url': 'https://mosaic.scdn.co/300/ab67616d0000b27300a59849a6c73a985bbd0369ab67616d0000b273038f8fad2f75b637f1c9aef5ab67616d0000b273779063301154e835a91a35e0ab67616d0000b273e52a59a28efa4773dd2bfe1b', 'width': 300}, {'height': 60, 'url': 'https://mosaic.scdn.co/60/ab67616d0000b27300a59849a6c73a985bbd0369ab67616d0000b273038f8fad2f75b637f1c9aef5ab67616d0000b273779063301154e835a91a35e0ab67616d0000b273e52a59a28efa4773dd2bfe1b', 'width': 60}]",relaxing evening songs,,,NDE5LDQ5Njg3ZmE0ZjMyNTY3NzI1ZjgyOGVhN2FmZTYzN2JmNjVmMWU1ZTQ=,playlist,spotify:playlist:2skmuBILbjEVC7RN738Wcq,https://open.spotify.com/playlist/2skmuBILbjEVC7RN738Wcq,ruthpennock,https://open.spotify.com/user/ruthpennock,https://api.spotify.com/v1/users/ruthpennock,ruthpennock,user,spotify:user:ruthpennock,https://api.spotify.com/v1/playlists/2skmuBILbjEVC7RN738Wcq/tracks,278
5,False,The perfect backdrop to an evening spent relaxing in solitude.,https://api.spotify.com/v1/playlists/37i9dQZF1DX4wta20PHgwo,37i9dQZF1DX4wta20PHgwo,"[{'height': None, 'url': 'https://i.scdn.co/image/ab67706f000000038dd2476df0b6af9c2a519ef6', 'width': None}]",Late Night Jazz,,,MTYzNTI1MjM0MSwwMDAwMDAwMGQ0MWQ4Y2Q5OGYwMGIyMDRlOTgwMDk5OGVjZjg0Mjdl,playlist,spotify:playlist:37i9dQZF1DX4wta20PHgwo,https://open.spotify.com/playlist/37i9dQZF1DX4wta20PHgwo,Spotify,https://open.spotify.com/user/spotify,https://api.spotify.com/v1/users/spotify,spotify,user,spotify:user:spotify,https://api.spotify.com/v1/playlists/37i9dQZF1DX4wta20PHgwo/tracks,100
6,False,,https://api.spotify.com/v1/playlists/2MOXvTX2QUeSpIwpzZXiCf,2MOXvTX2QUeSpIwpzZXiCf,"[{'height': 640, 'url': 'https://mosaic.scdn.co/640/ab67616d0000b2735dd22b6671233cf5e9695838ab67616d0000b27366755d3895c612c4eacd8e0eab67616d0000b273bd4c237c04735257dd64c510ab67616d0000b273e828c43c70f2e2dd5705525b', 'width': 640}, {'height': 300, 'url': 'https://mosaic.scdn.co/300/ab67616d0000b2735dd22b6671233cf5e9695838ab67616d0000b27366755d3895c612c4eacd8e0eab67616d0000b273bd4c237c04735257dd64c510ab67616d0000b273e828c43c70f2e2dd5705525b', 'width': 300}, {'height': 60, 'url': 'https://mosaic.scdn.co/60/ab67616d0000b2735dd22b6671233cf5e9695838ab67616d0000b27366755d3895c612c4eacd8e0eab67616d0000b273bd4c237c04735257dd64c510ab67616d0000b273e828c43c70f2e2dd5705525b', 'width': 60}]",Spanish relaxing evening ,,,MTAsYWQxMGUzNjNkM2UzOTU5YWJlNGY4YzUwZDg2NDEzMjhiOTBmZTJhNg==,playlist,spotify:playlist:2MOXvTX2QUeSpIwpzZXiCf,https://open.spotify.com/playlist/2MOXvTX2QUeSpIwpzZXiCf,debbietazelaar1,https://open.spotify.com/user/debbietazelaar1,https://api.spotify.com/v1/users/debbietazelaar1,debbietazelaar1,user,spotify:user:debbietazelaar1,https://api.spotify.com/v1/playlists/2MOXvTX2QUeSpIwpzZXiCf/tracks,9
7,False,"Easy relaxed listening - chillout. All vocal songs. Various genres: Blues, Jazz, Soul, Pop, Indie, etc. Various languages: English, French, Spanish, German, Portuguese, etc. ",https://api.spotify.com/v1/playlists/64EjcgAsmMifFix40FMPEj,64EjcgAsmMifFix40FMPEj,"[{'height': None, 'url': 'https://i.scdn.co/image/ab67706c0000bebba75d05b9b37b46c5e3d2257d', 'width': None}]",Female Voices I - Relaxing Evening/Morning Vibe,,,MjQwLDI5MjRlNmJiNWRiZTVhY2E0NzI4NDk3YWVkNjJlZjNlZTFlYzcyM2E=,playlist,spotify:playlist:64EjcgAsmMifFix40FMPEj,https://open.spotify.com/playlist/64EjcgAsmMifFix40FMPEj,LookaZyx,https://open.spotify.com/user/haeux80kw8dfx6yenj0wos3un,https://api.spotify.com/v1/users/haeux80kw8dfx6yenj0wos3un,haeux80kw8dfx6yenj0wos3un,user,spotify:user:haeux80kw8dfx6yenj0wos3un,https://api.spotify.com/v1/playlists/64EjcgAsmMifFix40FMPEj/tracks,125
8,False,"The waxiest of songs for your listening pleasure. Chill | Pop | Deep House | Tropical House Relaxing Beach songs chill mix for evening 🌻 Updated Weekly - Featuring Sam Feldt, Mauve, Ocean Ave, Nicolas Haelg, NLSN, Roman Müller, CARSTN, Blewbird, MKJ, Nora Van Elken, minite, Nimus, MVCA, Matt Simons",https://api.spotify.com/v1/playlists/79dwl5rJl4xRLrbHKUI2Q4,79dwl5rJl4xRLrbHKUI2Q4,"[{'height': None, 'url': 'https://i.scdn.co/image/ab67706c0000bebb753055c61040ff898c11742b', 'width': None}]",Chill Autumn Relaxing Evening Beach Songs 2021,,,NjYzLGI1OGFjODgyNGM0YzQ3YzkxYThhNWNkNmYwNjE0MmM0MzBjMWE4NTA=,playlist,spotify:playlist:79dwl5rJl4xRLrbHKUI2Q4,https://open.spotify.com/playlist/79dwl5rJl4xRLrbHKUI2Q4,wax.musique,https://open.spotify.com/user/p6tse5d1awjg4b47twlcrby59,https://api.spotify.com/v1/users/p6tse5d1awjg4b47twlcrby59,p6tse5d1awjg4b47twlcrby59,user,spotify:user:p6tse5d1awjg4b47twlcrby59,https://api.spotify.com/v1/playlists/79dwl5rJl4xRLrbHKUI2Q4/tracks,58
9,False,"Instrumental Christmas music for a holiday dinner or a quite evening at home; mostly acoustic guitar, piano, and jazz.",https://api.spotify.com/v1/playlists/1OF5u5vMeCKqjaGXsYd3sT,1OF5u5vMeCKqjaGXsYd3sT,"[{'height': None, 'url': 'https://i.scdn.co/image/ab67706c0000bebb9f68fde643c5142a5933f01e', 'width': None}]",Relaxing Christmas,,,NjM2LGU5M2QwYzU3ZWY1ZjRhMzdhOGFhODAyMGNjYTgxNTVmYTI3NDk0NjQ=,playlist,spotify:playlist:1OF5u5vMeCKqjaGXsYd3sT,https://open.spotify.com/playlist/1OF5u5vMeCKqjaGXsYd3sT,Andrew T. Lane,https://open.spotify.com/user/andrewtlane,https://api.spotify.com/v1/users/andrewtlane,andrewtlane,user,spotify:user:andrewtlane,https://api.spotify.com/v1/playlists/1OF5u5vMeCKqjaGXsYd3sT/tracks,133
